Alternative|Alternative
Alt Metal|Alternative
Alternative Rock|Alternative
Funk Metal|Alternative
Alternative Dance|Alternative
Grunge|Alternative
Alternative Pop|Alternative
Alternative Singer-Songwriter|Alternative
Alternative Christian|Alternative
Industrial|Alternative
Goth|Alternative
Punk|Punk
Classic Punk|Punk
Classic Pop Punk|Punk
Hard Punk|Punk
Pop Punk|Punk
Other Punk|Punk
Emo|Punk
Hardcore|Punk
Indie Rock|Indie Rock
Alternative Folk|Indie Rock
Ska Revival|Indie Rock
Post-Punk|Indie Rock
Indie Pop|Indie Rock
Power Pop|Indie Rock
Dream Pop|Indie Rock
Post-Modern Electronic Pop|Indie Rock
Post-Modern Art Rock|Indie Rock
Art & Experimental Rock|Indie Rock
Metal|Metal
Extreme Metal|Metal
Thrash & Speed Metal|Metal
Progressive Metal|Metal
Gothic Metal|Metal
Doom Metal|Metal
Heavy Metal|Metal
Rock|Rock
Doo Wop|Rock
Rockabilly|Rock
Early Rock & Roll|Rock
Psychedelic|Rock
Early 60's Pop-Rock|Rock
British Invasion|Rock
Surf Rock|Rock
Garage Rock|Rock
Progressive Rock|Rock
Classic Rock|Rock
Blues, Boogie & Southern Rock|Rock
Country Rock|Rock
Classic Soft Rock|Rock
Classic Pop-Rock|Rock
Alternative Roots|Rock
Asian Rock|Rock
Christian Rock|Rock
British Rock|Rock
European Rock|Rock
Folk Rock|Rock
Pop Metal|Rock
Hard Rock|Rock
Japanese Rock|Rock
Latin Rock|Rock
Mainstream Rock|Rock
Rock Singer-Songwriter|Rock
Adult Alternative Rock|Rock
Retro Rock Revival|Rock
Instrumental Rock|Rock
Jam Bands|Rock
Pop|Pop
African Pop|Pop
Korean Pop|Pop
Chinese Pop|Pop
Southeast Asian Pop|Pop
Central Asian Pop|Pop
Indian Film Pop|Pop
Other Indian Pop|Pop
European Pop|Pop
Japanese Pop|Pop
Kayoukyoku & Enka|Pop
Latin Pop|Pop
Middle East Pop|Pop
New Wave|Pop
Bubblegum & Sunshine Pop|Pop
Adult Alternative Pop|Pop
Adult Contemporary|Pop
Soft Rock|Pop
Pop Vocal|Pop
Folk Pop|Pop
Ethnic Fusion Pop|Pop
General Pop|Pop
Teen Pop|Pop
Singer-Songwriter|Pop
Christian Pop|Pop
Other Pop|Pop
Karaoke|Pop
World Pop Fusion|Pop
Easy Listening|Easy Listening
Pop Choral|Easy Listening
Classic Pop Vocals|Easy Listening
Show Tunes|Easy Listening
Lounge|Easy Listening
Other Easy Listening|Easy Listening
Early Pop Vocals|Easy Listening
Pops Dance|Easy Listening
Nostalgia|Easy Listening
Dance & House|Dance & House
Club Dance|Dance & House
Dance Pop|Dance & House
Disco|Dance & House
U.K. Garage|Dance & House
House|Dance & House
Progressive House|Dance & House
Electronica|Electronica
Acid Jazz|Electronica
Downtempo|Electronica
Neo-Lounge|Electronica
Trip Hop|Electronica
Ambient Electronica|Electronica
Jungle/Drum 'n' Bass|Electronica
Electronica Fusion|Electronica
Electronica Mainstream|Electronica
Techno|Electronica
Intelligent (IDM)|Electronica
Hardcore Techno|Electronica
Trance|Electronica
R&B|R&B
Funk|R&B
Classic Motown|R&B
Classic Soul/R&B|R&B
Neo-Soul|R&B
Contemporary R&B|R&B
Urban Crossover|R&B
New Jack Swing|R&B
Pop Soul|R&B
Quiet Storm|R&B
Urban AC|R&B
Rap|Rap
Old School Rap/Hip-Hop|Rap
Bass Music|Rap
Southern Rap|Rap
East Coast Rap|Rap
Midwestern Rap|Rap
West Coast|Rap
Gangsta Rap|Rap
Other Rap/Hip-Hop|Rap
Mixtape|Rap
Alternative Rap/Hip-Hop|Rap
Christian Rap|Rap
Reggaeton|Rap
Latin Rap/Hip-Hop|Rap
African Rap/Hip-Hop|Rap
Japanese Rap/Hip-Hop|Rap
Korean Rap/Hip-Hop|Rap
Chinese Rap/Hip-Hop|Rap
Jazz|Jazz
Avant Garde|Jazz
Bebop|Jazz
Hard Bop|Jazz
Cool Jazz|Jazz
Post-Bop|Jazz
Modern Jazz|Jazz
Big Band/Swing|Jazz
Fusion|Jazz
Contemporary Jazz|Jazz
Soul Jazz|Jazz
Early Jazz|Jazz
Early Jazz Piano|Jazz
Jazz Vocals|Jazz
Latin & World Jazz|Jazz
Smooth Jazz|Jazz
Classical|Classical
Midieval & Chant|Classical
Renaissance Era|Classical
Baroque Era|Classical
Classical Era|Classical
Romantic Era|Classical
Impressionist Era|Classical
Modern Era|Classical
Avant-Garde Classical|Classical
Contemporary Era|Classical
Minimalism|Classical
Other Classical|Classical
Ballet|Classical
Classical Crossover|Classical
Sacred Music/Mass|Classical
Classical Solo Instrumental|Classical
Classical Choral|Classical
Classical Vocal|Classical
Opera|Classical
Blues|Blues
Acoustic Blues|Blues
Traditional Acoustic Blues|Blues
Delta Blues|Blues
Blues Vocals|Blues
Other Blues|Blues
Electric Blues|Blues
Urban Blues|Blues
Contemporary Blues|Blues
Country & Folk|Country & Folk
Honky Tonk & Outlaw|Country & Folk
Neo-Traditional Country|Country & Folk
Traditional Country|Country & Folk
Western Swing & Country Boogie|Country & Folk
Americana|Country & Folk
Alternative Country|Country & Folk
Contemporary Country|Country & Folk
Country Pop|Country & Folk
Nashville Sound|Country & Folk
Country|Country & Folk
Bluegrass|Country & Folk
Cajun, Creole & Zydeco|Country & Folk
Old Timey|Country & Folk
Contemporary U.S. Folk|Country & Folk
Traditional U.S. Folk|Country & Folk
Religious|Religious
Indian Devotional|Religious
Buddhist Devotional|Religious
Christian Inspirational|Religious
Gospel|Religious
Hymns & Spirituals|Religious
Islamic|Religious
Jewish|Religious
Latin|Latin
Other Latin Traditional|Latin
Mexican Traditional|Latin
Latin Dance|Latin
Latin Folk|Latin
Central American|Latin
Caribbean|Latin
South American|Latin
Brazilian Folk & Dance|Latin
Reggae|Reggae
Dancehall Reggae|Reggae
Roots Reggae|Reggae
Classic Ska|Reggae
Traditional|Traditional
North African|Traditional
West African|Traditional
Southern African|Traditional
Other African|Traditional
Japanese Traditional|Traditional
Korean Traditional|Traditional
Chinese Traditional|Traditional
Southeast Asian Traditional|Traditional
Indonesian, Malaysian & Filipino|Traditional
Central Asian Traditional|Traditional
Other Asian|Traditional
Indian Classical|Traditional
Indian Folk|Traditional
Pakistani|Traditional
Himalayan|Traditional
Other Indian Subcontinent|Traditional
Celtic|Traditional
Klezmer|Traditional
Gypsy|Traditional
Eastern European|Traditional
Balkan States|Traditional
Mediterranean|Traditional
French|Traditional
Northern European|Traditional
Baltic States|Traditional
Scandinavian|Traditional
British Isles|Traditional
Middle Eastern|Traditional
Australasian|Traditional
Pacific|Traditional
North American|Traditional
General World|Traditional
Soundtrack|Soundtrack
Animation|Soundtrack
Games|Soundtrack
Original Film/TV Music|Soundtrack
Stage Musicals|Soundtrack
Sports Themes|Soundtrack
Children's|Children's
Children's Music|Children's
Toddler & Baby Music|Children's
Spoken & Audio|Spoken & Audio
Comedy|Spoken & Audio
Spoken Word|Spoken & Audio
Audio Book|Spoken & Audio
Holiday|Holiday
Other Holiday|Holiday
Christmas|Holiday
New Age|New Age
Electronic & Space Music|New Age
Meditative|New Age
Environmental|New Age
New Acoustic|New Age
Popular New Age|New Age
New Age World Music|New Age
Other|Other
Sound Effects|Other
Data & Other|Other
